Title,Slug,product_slug (Plain text),category_key (Plain text),article_number (Plain text),name_sv (Plain text),name_en (Plain text),length_mm (Plain text),width_mm (Plain text),inside_width_mm (Plain text),folded_length_mm (Plain text),folded_height_mm (Plain text),weight_kg (Plain text),max_load_kg (Plain text),rec_max_height_mm (Plain text),adjustable_height_mm (Plain text),angle_deg (Plain text),other_specs_sv (Plain text),other_specs_en (Plain text),specs_raw_sv (Rich text),specs_raw_en (Rich text),image (Image),source_url_sv (Link),source_url_en (Link)
"10883 Loading ramp, 3-piece, 3100x820 mm",10883,iramp-vehicle-tredelad,fordonsramper,10883,"10883 Lastramp, 3-delad, 3100x820 mm","10883 Loading ramp, 3-piece, 3100x820 mm",3100,820,,,1161,,,,,,,,"(A) Längd plattform: 3100 mm
(B) Bredd plattform: 820 mm
(C) Höjd ihopvikt: 1161 mm
(D) Bredd ramp: 965 mm
(E) Djup: 320 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 3100 mm
(B) Platform width: 820 mm
(C) Height folded: 1161 mm
(D) Outside width ramp: 965 mm
(E) Depth: 320 mm
Loading capacity/SWL: 400 kg",,https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tredelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-three-piece
"10885 Loading ramp, 3-piece, 3400x820 mm",10885,iramp-vehicle-tredelad,fordonsramper,10885,"10885 Lastramp, 3-delad, 3400x820 mm","10885 Loading ramp, 3-piece, 3400x820 mm",3400,820,,,1261,,,,,,,,"(A) Längd plattform: 3400 mm
(B) Bredd plattform: 820 mm
(C) Höjd ihopvikt: 1261 mm
(D) Bredd ramp: 965 mm
(E) Djup: 320 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 3400 mm
(B) Platform width: 820 mm
(C) Height folded: 1261 mm
(D) Outside width ramp: 965 mm
(E) Depth: 320 mm
Loading capacity/SWL: 400 kg",,https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tredelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-three-piece
"10887 Loading ramp, 3-piece, 3700x820 mm",10887,iramp-vehicle-tredelad,fordonsramper,10887,"10887 Lastramp, 3-delad, 3700x820 mm","10887 Loading ramp, 3-piece, 3700x820 mm",3700,820,,,1361,,,,,,,,"(A) Längd plattform: 3700 mm
(B) Bredd plattform: 820 mm
(C) Höjd ihopvikt: 1361 mm
(D) Bredd ramp: 965 mm
(E) Djup: 320 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 3700 mm
(B) Platform width: 820 mm
(C) Height folded: 1361 mm
(D) Outside width ramp: 965 mm
(E) Depth: 320 mm
Loading capacity/SWL: 400 kg",,https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tredelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-three-piece
"10889 Loading ramp, 3-piece, 4000x820 mm",10889,iramp-vehicle-tredelad,fordonsramper,10889,"10889 Lastramp, 3-delad, 4000x820 mm","10889 Loading ramp, 3-piece, 4000x820 mm",4000,820,,,1461,,,,,,,,"(A) Längd plattform: 4000 mm
(B) Bredd plattform: 820 mm
(C) Höjd ihopvikt: 1461 mm
(D) Bredd ramp: 965 mm
(E) Djup: 320 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 4000 mm
(B) Platform width: 820 mm
(C) Height folded: 1461 mm
(D) Outside width ramp: 965 mm
(E) Depth: 320 mm
Loading capacity/SWL: 400 kg",,https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tredelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-three-piece
"10891 Loading ramp, 3-piece, 4300x820 mm",10891,iramp-vehicle-tredelad,fordonsramper,10891,"10891 Lastramp, 3-delad, 4300x820 mm","10891 Loading ramp, 3-piece, 4300x820 mm",4300,820,,,1561,,,,,,,,"(A) Längd plattform: 4300 mm
(B) Bredd plattform: 820 mm
(C) Höjd ihopvikt: 1561 mm
(D) Bredd ramp: 965 mm
(E) Djup: 320 mm
Lastvikt/SWL: 400 kg","(A) Platform length: 2800 mm
(B) Platform width: 820 mm
(C) Height folded: 1561 mm
(D) Outside width ramp: 965 mm
(E) Depth: 320 mm
Loading capacity/SWL: 400 kg",,https://www.feal.se/ramper/fordonsramper/iramp-vehicle-tredelad,https://www.feal.se/ramps/vehicle-ramps/iramp-vehicle-three-piece
"10910 Loading ramp PRO, 2-piece, 2000x480 mm",10910,lastramper,fordonsramper,10910,"10910 Lastramp PRO, 2-delad, 2000x480 mm","10910 Loading ramp PRO, 2-piece, 2000x480 mm",2000,480,,,1070,18,800,,,,,,"Längd utfälld: 2000 mm
Bredd: 480 mm
Höjd hopvikt: 1070 mm
Vikt: 18 kg
Maxlast*: 800 kg","Extended length: 2000 mm
Width: 480 mm
Folded height: 1070 mm
Weight: 18 kg
Max. load*: 800 kg",,https://www.feal.se/ramper/fordonsramper/lastramper,https://www.feal.se/ramps/vehicle-ramps/loading-ramps
"10911 Loading ramp PRO, 2-piece, 2250x480 mm",10911,lastramper,fordonsramper,10911,"10911 Lastramp PRO, 2-delad, 2250x480 mm","10911 Loading ramp PRO, 2-piece, 2250x480 mm",2250,480,,,1190,20,800,,,,,,"Längd utfälld: 2250 mm
Bredd: 480 mm
Höjd hopvikt: 1190 mm
Vikt: 20 kg
Maxlast*: 800 kg","Extended length: 2250 mm
Width: 480 mm
Folded height: 1190 mm
Weight: 20 kg
Max. load*: 800 kg",,https://www.feal.se/ramper/fordonsramper/lastramper,https://www.feal.se/ramps/vehicle-ramps/loading-ramps
"10912 Loading ramp PRO, 2-piece, 2500x480 mm",10912,lastramper,fordonsramper,10912,"10912 Lastramp PRO, 2-delad, 2500x480 mm","10912 Loading ramp PRO, 2-piece, 2500x480 mm",2500,480,,,1310,23,650,,,,,,"Längd utfälld: 2500 mm
Bredd: 480 mm
Höjd hopvikt: 1310 mm
Vikt: 23 kg
Maxlast*: 650 kg","Extended length: 2500 mm
Width: 480 mm
Folded height: 1310 mm
Weight: 23 kg
Max. load*: 650 kg",,https://www.feal.se/ramper/fordonsramper/lastramper,https://www.feal.se/ramps/vehicle-ramps/loading-ramps
"10913 Loading ramp PRO, 2-piece, 2850x480 mm",10913,lastramper,fordonsramper,10913,"10913 Lastramp PRO, 2-delad, 2850x480 mm","10913 Loading ramp PRO, 2-piece, 2850x480 mm",2850,480,,,1490,27,650,,,,,,"Längd utfälld: 2850 mm
Bredd: 480 mm
Höjd hopvikt: 1490 mm
Vikt: 27 kg
Maxlast*: 650 kg","Extended length: 2850 mm
Width: 480 mm
Folded height: 1490 mm
Weight: 27 kg
Max. load*: 650 kg",,https://www.feal.se/ramper/fordonsramper/lastramper,https://www.feal.se/ramps/vehicle-ramps/loading-ramps
"10914 Loading ramp PRO, 2-piece, 2000x690 mm",10914,lastramper,fordonsramper,10914,"10914 Lastramp PRO, 2-delad, 2000x690 mm","10914 Loading ramp PRO, 2-piece, 2000x690 mm",2000,690,,,1070,25,800,,,,,,"Längd utfälld: 2000 mm
Bredd: 690 mm
Höjd hopvikt: 1070 mm
Vikt: 25 kg
Maxlast*: 800 kg","Extended length: 2000 mm
Width: 690 mm
Folded height: 1070 mm
Weight: 25 kg
Max. load*: 800 kg",,https://www.feal.se/ramper/fordonsramper/lastramper,https://www.feal.se/ramps/vehicle-ramps/loading-ramps
"10915 Loading ramp PRO, 2-piece, 2250x690 mm",10915,lastramper,fordonsramper,10915,"10915 Lastramp PRO, 2-delad, 2250x690 mm","10915 Loading ramp PRO, 2-piece, 2250x690 mm",2250,690,,,1190,28,800,,,,,,"Längd utfälld: 2250 mm
Bredd: 690 mm
Höjd hopvikt: 1190 mm
Vikt: 28 kg
Maxlast*: 800 kg","Extended length: 2250 mm
Width: 690 mm
Folded height: 1190 mm
Weight: 28 kg
Max. load*: 800 kg",,https://www.feal.se/ramper/fordonsramper/lastramper,https://www.feal.se/ramps/vehicle-ramps/loading-ramps
"10916 Loading ramp PRO, 2-piece, 2500x690 mm",10916,lastramper,fordonsramper,10916,"10916 Lastramp PRO, 2-delad, 2500x690 mm","10916 Loading ramp PRO, 2-piece, 2500x690 mm",2500,690,,,1310,31,650,,,,,,"Längd utfälld: 2500 mm
Bredd: 690 mm
Höjd hopvikt: 1310 mm
Vikt: 31 kg
Maxlast*: 650 kg","Extended length: 2500 mm
Width: 690 mm
Folded height: 1310 mm
Weight: 31 kg
Max. load*: 650 kg",,https://www.feal.se/ramper/fordonsramper/lastramper,https://www.feal.se/ramps/vehicle-ramps/loading-ramps
"10917 Loading ramp PRO, 2-piece, 2850x690 mm",10917,lastramper,fordonsramper,10917,"10917 Lastramp PRO, 2-delad, 2850x690 mm","10917 Loading ramp PRO, 2-piece, 2850x690 mm",2850,690,,,1490,35,650,,,,,,"Längd utfälld: 2850 mm
Bredd: 690 mm
Höjd hopvikt: 1490 mm
Vikt: 35 kg
Maxlast*: 650 kg","Extended length: 2850 mm
Width: 690 mm
Folded height: 1490 mm
Weight: 35 kg
Max. load*: 650 kg",,https://www.feal.se/ramper/fordonsramper/lastramper,https://www.feal.se/ramps/vehicle-ramps/loading-ramps
